Scientific name,Wishlist ID,Source,Priority,Status,Family,Common name EN,Common name DE,Common name PT,Native origin,Natural habitat,Temperature / hardiness target,Light needs,Humidity,Water needs,Soil / substrate,Recommended substrate mix (%),Winter hardiness in Heiligenhaus,Difficulty,Future location,Rarity in cultivation,Bonsai potential,Invasive potential,Conservation / endangerment level,Pollinators / ecology,Edible / medicinal / ethnobotanical,Seed source / propagation,Where to buy EU/UK,Wikipedia,Kew POWO / source search,Notes,Confidence
Oenothera fruticosa,SBC-WL-0091,"Chelsea Physic Garden, London",★★,Wishlist,Onagraceae,Sundrops,Nachtkerze / Sonnenkelch,onagra,Eastern North America,Dry open woods/meadows,Hardy,Full sun,Low,Low-medium,Well-drained average soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), moths including hawkmoths (Sphingidae), butterflies; varies by species.",Related medicinal evening primroses; ornamental,Seed/plants,Perennial nurseries,https://en.wikipedia.org/wiki/Oenothera_fruticosa,https://powo.science.kew.org/results?q=Oenothera+fruticosa,Reliable yellow perennial.,High
Silene coronaria 'Atrosanguinea',SBC-WL-0092,"Chelsea Physic Garden, London",★★,Wishlist,Caryophyllaceae,Rose campion,Kronen-Lichtnelke,silene-coronária,Cultivar; SE Europe/W Asia ancestry,Dry rocky slopes,Hardy short-lived perennial,Full sun,Low,Low,Poor well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,Low,Self-seeds mildly,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: butterflies, moths, hoverflies and bees; night-scented relatives often moth-pollinated.",Ornamental,Seed/plants,Garden centres,https://en.wikipedia.org/wiki/Silene_coronaria,https://powo.science.kew.org/results?q=Silene+coronaria+%27Atrosanguinea%27,Silver foliage and magenta flowers.,High
Nandina domestica,SBC-WL-0093,"Chelsea Physic Garden, London",★★,Wishlist,Berberidaceae,Heavenly bamboo,Himmelsbambus,nandina / bambu-celeste,"China, Japan, India",Woodland/thickets,Hardy to around -15°C sheltered,Sun to shade,Medium,Moderate,Fertile well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Sheltered outdoor/container,Easy,Shady outdoor bed,Common in garden trade,Low,Invasive in some regions; monitor,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), hoverflies, small flies.",Ornamental; berries toxic to some animals,Plants,Garden centres,https://en.wikipedia.org/wiki/Nandina_domestica,https://powo.science.kew.org/results?q=Nandina+domestica,Useful but not very 'rare'.,High
Delphinium grandiflorum,SBC-WL-0094,"Chelsea Physic Garden, London",★★,Wishlist,Ranunculaceae,Siberian larkspur,Großblütiger Rittersporn,delfínio,"China, Mongolia, Siberia",Meadows/rocky slopes,Hardy,Full sun,Medium,Medium,Fertile well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Medium,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus/Andrena spp.), hoverflies (Syrphidae), beetles.",Ornamental; toxic,Seed/plants,Perennial nurseries,https://en.wikipedia.org/wiki/Delphinium_grandiflorum,https://powo.science.kew.org/results?q=Delphinium+grandiflorum,Compact delphinium.,High
Staphisagria requienii,SBC-WL-0095,"Chelsea Physic Garden, London",★★★,Wishlist,Ranunculaceae,Requien's stavesacre,Requiens Stephanskraut,estafiságria-de-Requien,"Corsica, Sardinia",Mediterranean rocky habitats,Mediterranean; protect wet cold,Sun to part shade,Low-medium,Low-medium,Well-drained Mediterranean soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container/cold greenhouse likely,Hard,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus/Andrena spp.), hoverflies (Syrphidae), beetles.",Toxic/medicinal history in genus,Rare seed,Specialist botanical seed suppliers,https://en.wikipedia.org/wiki/Staphisagria_requienii,https://powo.science.kew.org/results?q=Staphisagria+requienii,Rare and obscure; verify ID/culture.,Medium
Gloriosa modesta,SBC-WL-0096,"Kew Gardens, London",★★★,Wishlist,Colchicaceae,Glory lily,Ruhmeslilie,gloriosa,Southern Africa,Grassland/scrub,Frost-free tuber dormancy,Bright light,Medium,Moderate in growth,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container/greenhouse,Medium,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,Likely/known visitors: bees and flies; exact pollinators vary by species.,Highly toxic; ornamental,Tubers/seed,Bulb specialists,https://en.wikipedia.org/wiki/Gloriosa_modesta,https://powo.science.kew.org/results?q=Gloriosa+modesta,Collector plant; toxic.,Medium
Gunnera killipiana,SBC-WL-0097,"Kew Gardens, London",★★★★,Wishlist,Gunneraceae,Gunnera,Gunnera,gunera,Central America/Andean region,Wet montane/tropical habitats,Frost-free/cool greenhouse,Part shade,High,High,"Wet, rich humus soil","45% leaf mould/woodland compost; 30% loam; 15% fine bark; 10% grit/perlite. Humus-rich, cool, moist but not waterlogged.",Greenhouse only,Hard,Tropical greenhouse,Very rare / botanical-collection level,None,Low,Unknown / not assessed in this catalogue.,Likely wind and/or small insects depending species; exact pollinators for this species need verification.,Ornamental/scientific,Rare plants,Specialist/botanical exchange,https://en.wikipedia.org/wiki/Gunnera_killipiana,https://powo.science.kew.org/results?q=Gunnera+killipiana,Species details need confirmation.,Medium
Hibiscus grandidieri,SBC-WL-0098,"Kew Gardens, London",★★★,Wishlist,Malvaceae,Grandidier's hibiscus,Grandidiers Hibiskus,hibisco-de-Grandidier,Madagascar,Dry or tropical forest depending locality,Frost-free,Sun/bright light,Medium,Moderate,Well-drained fertile soil,35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 15% mature compost/worm castings; 5% charcoal.,Greenhouse only,Medium-hard,Tropical greenhouse,Rare collector plant / specialist nurseries,Medium,Low,Unknown / Madagascar endemic; conservation status not yet resolved in this catalogue.,"Likely/known visitors: bees (Apis mellifera, Bombus spp.), butterflies (Pieris/Vanessa spp.); cacao specifically uses tiny biting midges (Forcipomyia spp.).",Ornamental/conservation,Seed/cuttings rare,Specialist tropical nurseries,https://en.wikipedia.org/wiki/Hibiscus_grandidieri,https://powo.science.kew.org/results?q=Hibiscus+grandidieri,Rare Madagascar species; verify exact requirements.,Medium
Phedimus kamtschaticus,SBC-WL-0099,"Kew Gardens, London",★★,Wishlist,Crassulaceae,Kamchatka stonecrop,Kamtschatka-Fetthenne,sedum-de-Kamchatka,NE Asia,Rocky slopes,Hardy,Full sun,Low,Low,Well-drained gritty soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis mellifera, Bombus spp.), hoverflies (Episyrphus balteatus), small flies and wasps.",Ornamental/pollinator,Division/cuttings,Garden centres,https://en.wikipedia.org/wiki/Phedimus_kamtschaticus,https://powo.science.kew.org/results?q=Phedimus+kamtschaticus,Often sold as Sedum kamtschaticum.,High
Potentilla thurberi 'Monarch's Velvet',SBC-WL-0100,"Kew Gardens, London",★★★,Wishlist,Rosaceae,Scarlet cinquefoil,Fingerkraut 'Monarch's Velvet',potentilha 'Monarch's Velvet',Cultivar; SW North American ancestry,Meadows/open woodland,Hardy,Sun to part shade,Medium,Moderate,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Medium,Shady outdoor bed,Cultivar; availability varies by nursery,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Ornamental,Seed/plants,Perennial nurseries,https://en.wikipedia.org/wiki/Potentilla_thurberis,https://powo.science.kew.org/results?q=Potentilla+thurberi+%27Monarch%27s+Velvet%27,Dark red flowers; verify exact taxonomy.,Medium
Kniphofia 'Poco Orange',SBC-WL-0101,"Kew Gardens, London",★★,Wishlist,Asphodelaceae,Red-hot poker 'Poco Orange',Fackellilie 'Poco Orange',tritoma 'Poco Orange',Garden cultivar; African genus,Garden origin,Hardy with drainage,Full sun,Low,Moderate,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy/sheltered outdoors,Easy,Sunny outdoor bed,Common in garden trade,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bees (Apis mellifera, Bombus spp., solitary bees), hoverflies (Syrphidae), sometimes birds in native ranges.",Ornamental,Division/plants,Garden centres,https://en.wikipedia.org/wiki/Kniphofia,https://powo.science.kew.org/results?q=Kniphofia+%27Poco+Orange%27,Compact cultivar.,High
Robinia × ambigua 'Decaisneana',SBC-WL-0102,"Kew Gardens, London",★★,Wishlist,Fabaceae,Pink hybrid locust,Robinie 'Decaisneana',robínia 'Decaisneana',Garden hybrid,Cultivated tree,Hardy,Full sun,Low,Low,Well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors but suckering possible,Easy,Trees & large shrubs,Cultivar; availability varies by nursery,Medium,Robinia can sucker/spread,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), solitary bees (Megachile spp., Anthophora spp.).",Ornamental; legumes toxic,Grafted plants,Tree nurseries,https://en.wikipedia.org/wiki/Robinia_ambigua,https://powo.science.kew.org/results?q=Robinia+%C3%97+ambigua+%27Decaisneana%27,Included from remarkable bark/tree interest.,Medium
Rosa 'Long John Silver',SBC-WL-0103,"Kew Gardens, London",★★,Wishlist,Rosaceae,Long John Silver rose,Rose 'Long John Silver',rosa 'Long John Silver',Cultivar,Garden rose,Hardy,Full sun,Medium,Moderate,Fertile loam,50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,Hardy outdoors,Medium,Sunny outdoor bed,Cultivar; availability varies by nursery,Medium,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Ornamental,Grafted plants/cuttings,Rose nurseries,https://en.wikipedia.org/wiki/Rosa,https://powo.science.kew.org/results?q=Rosa+%27Long+John+Silver%27,Possibly included partly for the name.,Medium
Rosa 'Thomas à Becket',SBC-WL-0104,"Kew Gardens, London",★★,Wishlist,Rosaceae,Thomas à Becket rose,Rose 'Thomas à Becket',rosa 'Thomas à Becket',Cultivar,Garden rose,Hardy,Full sun,Medium,Moderate,Fertile loam,50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,Hardy outdoors,Medium,Sunny outdoor bed,Cultivar; availability varies by nursery,Medium,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Ornamental/fragrance,Grafted plants,David Austin/rose nurseries,https://en.wikipedia.org/wiki/Rosa,https://powo.science.kew.org/results?q=Rosa+%27Thomas+%C3%A0+Becket%27,David Austin-style shrub rose.,Medium
Rosa 'Rambling Rosie',SBC-WL-0105,"Kew Gardens, London",★★,Wishlist,Rosaceae,Rambling Rosie rose,Ramblerrose 'Rambling Rosie',rosa 'Rambling Rosie',Cultivar,Garden rambler,Hardy,Full sun,Medium,Moderate,Fertile loam,50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,Hardy outdoors,Medium,Trees & large shrubs,Cultivar; availability varies by nursery,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Ornamental,Grafted plants,Rose nurseries,https://en.wikipedia.org/wiki/Rosa,https://powo.science.kew.org/results?q=Rosa+%27Rambling+Rosie%27,Vigorous rambler.,Medium
Phlox sp.,SBC-WL-0106,"Kew Gardens, London",★★,Needs confirmation,Polemoniaceae,Garden phlox,Flammenblume,flox,Unknown,Garden perennial/unknown,Hardy,Sun to part shade,Medium,Moderate,Moist fertile soil,40% peat-free potting compost/coir; 25% loam; 20% perlite/pumice; 15% mature compost. General free-draining container mix.,Likely hardy outdoors,Easy-medium,Sunny outdoor bed,Common in garden trade,Low,Low,Unknown — species/cultivar must be confirmed first.,"Likely/known visitors: bees (Bombus/Apis spp.), butterflies, hoverflies.",Ornamental,Plants/division,Garden centres,https://en.wikipedia.org/wiki/Phlox_sp.,https://powo.science.kew.org/results?q=Phlox+sp.,Photo/label lacked clear cultivar or species ID; confirm before purchase or NFC/public catalogue entry.,Low
Achillea millefolium 'Paprika',SBC-WL-0107,"Kew Gardens, London",★★,Wishlist,Asteraceae,Yarrow 'Paprika',Schafgarbe 'Paprika',milefólio 'Paprika',Cultivar; species N Hemisphere,Dry meadows/grasslands,Hardy,Full sun,Low,Low,Well-drained average soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees (Halictus/Lasioglossum spp.), hoverflies (Episyrphus balteatus), butterflies (Pieris rapae, Vanessa atalanta).",Traditional medicinal yarrow; ornamental,Division/plants,Garden centres,https://en.wikipedia.org/wiki/Achillea_millefolium,https://powo.science.kew.org/results?q=Achillea+millefolium+%27Paprika%27,Reliable drought-tolerant perennial.,High
Medinilla magnifica,SBC-WL-0108,Shop sighting / user photo,★★★★,Wishlist,Melastomataceae,Rose grape / Showy medinilla,Pracht-Medinille,Medinila,Philippines,"Humid tropical forest; often epiphytic or semi-epiphytic on trees and rocky slopes in warm, sheltered conditions.",Warm tropical conditions; ideal 18–28°C; avoid cold drafts and temperatures below about 15°C.,Bright indirect light; no harsh midday sun under glass.,"High humidity preferred, ideally 60–80% with good air movement.","Keep evenly moist in growth, but never waterlogged; reduce slightly in winter while avoiding full drought.",Airy tropical/epiphyte-style substrate with excellent drainage and moisture retention.,35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 10% leaf mould/compost; 10% charcoal/coarse organic matter.,Not hardy outdoors; tropical greenhouse or warm bright indoor conditions only.,Medium-hard,Trees & large shrubs,Uncommon but available in specialist tropical/houseplant trade,Low; better as a flowering greenhouse specimen than a bonsai subject.,Low in Germany; not winter-hardy and unsuitable for outdoor escape.,Not evaluated / no global threat flag recorded in this catalogue.,"Tropical forest ornamental with showy pendant inflorescences; flowers and berries are part of bird/insect ecology in native habitat, exact pollinators not central for cultivation.",Primarily ornamental; no edible use recorded for this catalogue.,Usually propagated by cuttings or specialist nursery production; seed possible but uncommon in hobby cultivation.,Araflora (NL); PLNTS.com (NL); Ben’s Jungle (DE); specialist tropical houseplant shops; availability seasonal.,https://en.wikipedia.org/wiki/Medinilla_magnifica,https://powo.science.kew.org/results?q=Medinilla%20magnifica,"Spectacular tropical greenhouse plant with glossy leaves and large hanging pink inflorescences. Good future greenhouse specimen; not ideal for unstable/travel conditions. Added from shop sighting; catalogue image should use Wikimedia/Wikidata reference images, not the shop photo.",High
